Dwell (ms),Type I block,Type II block
0.5,22.63107,
0.922,22.63812,
0.5,22.6386,
0.844,22.64205,
0.5,22.64681,
0.922,22.65755,
0.719,22.65968,
0.6093,22.66322,
0.8281,22.66616,
1.0315,22.66978,
1.719,22.67268,
1.2345,22.67598,
1.3285,22.68262,
0.6095,22.68664,
1.031,22.68818,
1.7345,22.69751,
1.031,22.70028,
1.219,22.70328,
0.7187,22.70348,
0.828,22.70717,
0.9372,22.71115,
0.6092,22.71653,
1.4062,22.72364,
0.7187,22.72381,
1.7185,22.72728,
2.25,22.73008,
2.5625,22.73118,
0.625,22.7328,
0.5938,22.73328,
0.8125,22.73391,
1.125,22.73606,
0.9065,22.73731,
1.6405,22.73938,
2.453,22.74123,
0.9215,22.74188,
1.8435,22.74425,
2.3593,22.74604,
1.2345,22.7482,
1.8435,22.74945,
0.8125,22.75514,
1.2185,22.75882,
0.7187,22.75892,
