i status r z
<type 'numpy.int64'> <type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'>
731 0 0.21328 8.92268
732 0 0.03666 1.54965
733 0 0.17899 -5.76576
734 0 0.17899 -4.10173
735 0 0.36025 2.89414
736 0 0.03255 3.60678
737 0 0.14726 -5.12543
738 0 0.36197 8.13084
739 0 0.36189 -8.13065
740 0 0.07688 -0.00395
741 0 2.87622 -8.06767
742 0 2.87654 8.06822
743 0 0.11245 -2.78354
744 0 2.89392 8.00095
745 0 2.89366 -8.0005
746 0 0.11106 -3.29201
747 0 0.03199 -0.31611
748 0 0.28714 1.74205
749 0 0.36324 -5.28583
750 0 0.98279 -8.88845
751 0 0.98279 8.88845
752 0 0.11377 -0.7244
753 0 0.03326 -3.60129
754 0 0.3452 1.63067
755 0 3.45995 -2.03505
756 0 3.45995 2.03505
757 0 0.07298 3.67257
758 0 0.30184 2.6574
759 0 0.06505 7.61005
760 0 0.06505 -7.61005
761 0 0.06029 6.98903
762 0 0.06029 -1.61097
763 0 0.0576 -6.98833
764 0 0.05459 5.83636
765 0 0.0546 5.32434
766 0 0.0546 5.96366
767 0 0.05675 -2.2496
768 0 0.05336 6.47599
769 0 0.0546 5.45166
770 0 0.07009 -4.29972
771 0 0.0546 -2.12434
772 0 0.05336 6.34799
773 0 0.0534 4.428
774 0 0.05683 4.29971
775 0 0.05332 4.812
776 0 0.05347 -1.73991
777 0 0.05332 4.94
778 0 0.0546 -6.34834
779 0 0.05347 6.86009
780 0 0.0546 -4.68434
781 0 0.0546 -6.47566
782 0 0.05444 -4.81102
783 0 0.05471 -6.86046
784 0 0.07009 -5.96372
785 0 0.25667 2.02157
786 0 0.32634 2.79519
787 0 0.26209 2.79519
788 0 0.26131 2.86012
789 0 0.32556 2.86013
790 0 0.32375 2.09512
791 0 0.26099 2.08874
792 0 0.19476 -0.41944
793 0 0.21194 -0.48131
794 0 0.77613 -8.77347
795 0 0.77613 8.77347
796 0 0.07108 0.12042
797 0 0.0341 4.62
798 0 0.0341 6.668
799 0 0.03306 -1.93167
800 0 0.03306 5.13167
801 0 0.03306 5.64412
802 0 0.03306 6.15633
803 0 0.03306 -4.49188
804 0 0.03306 -6.15588
805 0 0.03306 -6.66812
806 0 0.6606 -8.02126
807 0 0.07465 -0.21559
808 0 0.06651 3.56414
809 0 0.07627 -3.67129
810 0 3.79455 6.21962
811 0 3.79451 -6.21962
812 0 0.03538 -4.10939
813 0 0.03537 -5.77342
814 0 0.17302 -7.83613
815 0 0.20073 -7.78373
816 0 0.17302 7.83613
817 0 0.20073 7.78373
818 0 3.79477 -5.85292
819 0 3.79481 5.85292
820 0 0.41172 8.05875
821 0 0.41114 -8.05424
822 0 0.40093 0.72666
823 0 0.17061 -3.06501
824 0 3.33367 2.25232
825 0 3.33367 -2.2523
826 0 0.03439 -2.43517
827 0 0.06145 0.48926
828 0 0.0613 0.61148
829 0 0.27731 -2.62139
830 0 0.27792 0.36562
831 0 0.22641 0.39566
832 0 0.2489 -2.85976
833 0 0.03181 8.01505
834 0 0.03181 -8.01505
835 0 3.7679 8.90567
836 0 3.7679 -8.90567
837 0 3.90123 8.774
838 0 3.90123 -8.774
839 0 0.34939 -0.89688
840 0 1.15532 -8.75402
841 0 1.15532 8.75402
842 0 0.0726 3.91859
843 0 0.13279 3.93275
844 0 3.77723 2.67581
845 0 3.77723 -2.67581
846 0 3.46485 2.39385
847 0 3.46484 -2.39383
848 0 1.50973 -8.15142
849 0 1.50974 8.15139
850 0 0.21194 -0.71487
851 0 0.0331 3.08455
852 0 0.03123 1.66735
853 0 3.24344 -5.81621
854 0 3.24359 5.81621
855 0 0.03064 -4.99231
856 0 0.27063 -3.13264
857 0 0.39413 -7.83244
858 0 3.24304 -6.24515
859 0 3.24319 6.24515
860 0 0.03604 -0.06353
861 0 0.03218 -5.13681
862 0 2.81945 8.50472
863 0 2.81944 -8.5047
864 0 0.1915 -3.69808
865 0 0.03451 0.30794
866 0 0.07231 4.03502
867 0 0.03119 1.81093
868 0 0.13251 4.00651
869 0 0.33852 3.89027
870 0 0.30356 3.83191
871 0 0.03271 -2.58305
872 0 0.19341 3.72633
873 0 0.92289 8.1841
874 0 0.96352 8.12662
875 0 0.96376 -8.12629
876 0 0.92313 -8.18377
877 0 3.24198 -3.78502
878 0 3.27814 3.79234
879 0 0.05557 3.14855
880 0 0.03004 -0.1748
881 0 0.13186 1.61101
882 0 0.03628 -3.09052
883 0 0.13504 1.27584
884 0 2.30195 -8.14379
885 0 2.30189 8.14381
886 0 0.33858 -2.6047
887 0 0.11485 5.32436
888 0 0.11469 -2.12418
889 0 0.11274 6.47526
890 0 0.11482 5.83652
891 0 0.11477 5.96362
892 0 0.11633 -2.24602
893 0 0.11488 5.45158
894 0 0.1143 4.42522
895 0 0.13039 -4.30665
896 0 0.11492 -6.86069
897 0 0.11724 4.29738
898 0 0.13039 -5.97065
899 0 0.11481 -6.34836
900 0 0.1149 -6.47561
901 0 0.11481 -4.68436
902 0 0.11475 -4.81024
903 0 0.37401 0.12254
904 0 3.89387 -2.86625
905 0 3.89387 2.86625
906 0 0.30351 -5.5522
907 0 0.30378 -3.88755
908 0 0.27516 -5.44088
909 0 0.27606 -3.77566
910 0 0.11193 6.34962
911 0 0.11249 -1.73999
912 0 0.11149 4.939
913 0 0.11194 4.81239
914 0 0.11333 6.85984
915 0 0.10723 3.15954
916 0 0.12101 -1.61169
917 0 0.12103 6.9877
918 0 0.11823 -6.98941
919 0 0.18752 -0.2129
920 0 0.11531 4.69548
921 0 0.11427 -1.85619
922 0 0.1157 4.54396
923 0 0.11531 6.74348
924 0 0.11427 5.05619
925 0 0.11555 5.57161
926 0 0.05913 4.684
927 0 0.11427 6.23181
928 0 0.11555 6.08359
929 0 0.11555 -2.00441
930 0 0.11545 5.71675
