i status r z
<type 'numpy.int64'> <type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'>
600 0 3.4e-11 1.025e-09
601 0 1.61e-10 7.576e-09
602 0 1.61e-10 -7.576e-09
603 0 7.6e-11 1.066e-09
604 0 3.7e-11 -2.184e-09
605 0 3.63e-10 2.759e-09
606 0 2.148e-09 8.821e-09
607 0 2.096e-09 -8.807e-09
608 0 6.1e-11 -2.122e-09
609 0 6.7e-11 -1.955e-09
610 0 6.2e-11 -2.633e-09
611 0 3.38e-10 -8.41e-10
612 0 2.98e-10 2.997e-09
613 0 1.62e-10 -8.25e-10
614 0 2.24e-10 -8.53e-10
615 0 3.7e-11 1.55e-09
616 0 3.6e-10 2.894e-09
617 0 3.3e-11 3.607e-09
618 0 1.122e-09 8.231e-09
619 0 1.122e-09 -8.231e-09
620 0 7.7e-11 -4e-12
621 0 3.1e-11 -8.074e-09
622 0 3.1e-11 8.074e-09
623 0 1.14e-10 -2.617e-09
624 0 1.31e-09 8.176e-09
625 0 1.31e-09 -8.176e-09
626 0 8e-11 -5.841e-09
627 0 1.12e-10 -2.109e-09
628 0 3.615e-09 -8.595e-09
629 0 3.614e-09 8.587e-09
630 0 3.2e-11 -3.16e-10
631 0 2.87e-10 1.742e-09
632 0 1.806e-09 8.855e-09
633 0 1.785e-09 -8.871e-09
634 0 2.85e-10 7.766e-09
635 0 2.85e-10 -7.766e-09
636 0 3.8e-11 -1.799e-09
637 0 6.9e-11 -5.447e-09
638 0 3.06e-10 -1.269e-09
639 0 1.14e-10 -7.24e-10
640 0 3.45e-10 1.631e-09
641 0 1.63e-10 -1.561e-09
642 0 2.92e-10 -5.161e-09
643 0 7.3e-11 3.673e-09
644 0 3.58e-10 -5.51e-09
645 0 3.02e-10 2.657e-09
646 0 1.67e-10 -1.954e-09
647 0 2.92e-10 -1.485e-09
648 0 2.38e-10 -1.5e-09
649 0 2.22e-10 -1.94e-09
650 0 2.48e-10 -1.291e-09
651 0 6e-11 6.989e-09
652 0 5.8e-11 -6.988e-09
653 0 1.455e-09 9.242e-09
654 0 1.455e-09 -9.242e-09
655 0 5.5e-11 5.836e-09
656 0 5.5e-11 5.324e-09
657 0 5.3e-11 5.964e-09
658 0 5.3e-11 6.476e-09
659 0 5.3e-11 -4.172e-09
660 0 5.3e-11 -3.276e-09
661 0 5.8e-11 -3.151e-09
662 0 5.5e-11 5.452e-09
663 0 5.3e-11 6.348e-09
664 0 5.5e-11 -4.3e-09
665 0 5.3e-11 4.428e-09
666 0 5.7e-11 4.3e-09
667 0 5.3e-11 -3.788e-09
668 0 5.3e-11 4.812e-09
669 0 5.3e-11 -3.66e-09
670 0 5.3e-11 4.94e-09
671 0 5.7e-11 -6.348e-09
672 0 5.3e-11 6.86e-09
673 0 5.5e-11 -4.684e-09
674 0 5.3e-11 -6.476e-09
675 0 5.7e-11 -4.812e-09
676 0 5.5e-11 -6.86e-09
677 0 2.903e-09 8.137e-09
678 0 2.888e-09 -8.144e-09
679 0 2.57e-10 2.022e-09
680 0 3.26e-10 2.795e-09
681 0 2.62e-10 2.795e-09
682 0 2.61e-10 2.86e-09
683 0 3.26e-10 2.86e-09
684 0 3.24e-10 2.095e-09
685 0 2.61e-10 2.089e-09
686 0 2.12e-10 -4.81e-10
687 0 1.95e-10 -4.19e-10
688 0 7.1e-11 1.2e-10
689 0 1.72e-10 -5.623e-09
690 0 7.8e-11 -1.734e-09
691 0 6.969e-09 -6.626e-09
692 0 6.092e-09 -7.073e-09
693 0 6.092e-09 7.073e-09
694 0 6.969e-09 6.626e-09
695 0 1.88e-10 -1.251e-09
696 0 3.4e-11 -3.98e-09
697 0 3.4e-11 4.62e-09
698 0 3.3e-11 -3.468e-09
699 0 3.4e-11 6.668e-09
700 0 3.3e-11 5.132e-09
701 0 3.3e-11 5.644e-09
702 0 3.4e-11 6.156e-09
703 0 3.3e-11 -4.492e-09
704 0 3.3e-11 -6.668e-09
705 0 7.5e-11 -2.16e-10
706 0 6.7e-11 3.564e-09
707 0 3.85e-10 -2.826e-09
708 0 4.01e-10 7.27e-10
709 0 1.7e-10 -2.336e-09
710 0 1.99e-10 7.531e-09
711 0 1.99e-10 -7.531e-09
712 0 2.94e-10 -9.633e-09
713 0 2.94e-10 9.633e-09
714 0 3.4e-11 -2.964e-09
715 0 1.76e-10 -5.566e-09
716 0 3.2e-11 -7.956e-09
717 0 3.2e-11 7.956e-09
718 0 6.1e-11 4.89e-10
719 0 6.1e-11 6.11e-10
720 0 1.12e-10 7.571e-09
721 0 1.12e-10 -7.571e-09
722 0 1.04e-10 -7.699e-09
723 0 1.04e-10 7.699e-09
724 0 1.28e-10 -5.467e-09
725 0 2.78e-10 3.66e-10
726 0 2.26e-10 3.96e-10
727 0 2.55e-10 -2.551e-09
728 0 3.49e-10 -8.97e-10
729 0 3.48e-10 7.79e-09
730 0 3.48e-10 -7.79e-09
731 0 7.3e-11 3.919e-09
732 0 7.2e-11 -5.194e-09
733 0 1.31e-10 -5.18e-09
